,Carbohydrate,Total Protein,Total Fat,Linoleic Acid,Î‘-linolenic Acid,Total Fibre,Total Water,,,,,,,,,,
Unit,g/day,g/kg/day,g/day ,g/day,g/day,g/day,g/day,Litres/day,,,,,,,,,
 ,EAR,RDA/AI,UL,EAR,RDA/AI,RDA/AI,UL,AI,UL,AI,UL,AI,UL,AI,UL,AI,UL
Infants,,,,,,,,,,,,,,,,,
0-6 mo,ND,60,ND,ND,1.52,9.1,ND,31,ND,4.4,ND,0.5,ND,ND,ND,0.7,ND
7-12 mo,ND,95,ND,1,1.2,11,ND,30,ND,4.6,ND,0.5,ND,ND,ND,0.8,ND
Children,,,,,,,,,,,,,,,,,
1-3 y,100,130,ND,0.87,1.05,13,ND,ND,ND,7,ND,0.7,ND,19,ND,1.3,ND
4-8 y,100,130,ND,0.76,0.95,19,ND,ND,ND,10,ND,0.9,ND,25,ND,1.7,ND
Males,,,,,,,,,,,,,,,,,
9-13 y,100,130,ND,0.76,0.95,34,ND,ND,ND,12,ND,1.2,ND,31,ND,2.4,ND
14-18 y,100,130,ND,0.73,0.85,52,ND,ND,ND,16,ND,1.6,ND,38,ND,3.3,ND
19-30 y,100,130,ND,0.66,0.8,56,ND,ND,ND,17,ND,1.6,ND,38,ND,3.7,ND
31-50 y,100,130,ND,0.66,0.8,56,ND,ND,ND,17,ND,1.6,ND,38,ND,3.7,ND
51-70 y,100,130,ND,0.66,0.8,56,ND,ND,ND,14,ND,1.6,ND,30,ND,3.7,ND
>70 y,100,130,ND,0.66,0.8,56,ND,ND,ND,14,ND,1.6,ND,30,ND,3.7,ND
Females,,,,,,,,,,,,,,,,,
9-13 y,100,130,ND,0.76,0.95,34,ND,ND,ND,10,ND,1,ND,26,ND,2.1,ND
14-18 y,100,130,ND,0.71,0.85,46,ND,ND,ND,11,ND,1.1,ND,26,ND,2.3,ND
19-30 y,100,130,ND,0.66,0.8,46,ND,ND,ND,12,ND,1.1,ND,25,ND,2.7,ND
31-50 y,100,130,ND,0.66,0.8,46,ND,ND,ND,12,ND,1.1,ND,25,ND,2.7,ND
51-70 y,100,130,ND,0.66,0.8,46,ND,ND,ND,11,ND,1.1,ND,21,ND,2.7,ND
>70 y,100,130,ND,0.66,0.8,46,ND,ND,ND,11,ND,1.1,ND,21,ND,2.7,ND
Pregnancy,,,,,,,,,,,,,,,,,
< 18 y,135,175,ND,0.88,1.1,71,ND,ND,ND,13,ND,1.4,ND,28,ND,3,ND
19-30 y,135,175,ND,0.88,1.1,71,ND,ND,ND,13,ND,1.4,ND,28,ND,3,ND
31-50 y,135,175,ND,0.88,1.1,71,ND,ND,ND,13,ND,1.4,ND,28,ND,3,ND
Lactation,,,,,,,,,,,,,,,,,
< 18 y,160,210,ND,1.05,1.3,71,ND,ND,ND,13,ND,1.3,ND,29,ND,3.8,ND
19-30 y,160,210,ND,1.05,1.3,71,ND,ND,ND,13,ND,1.3,ND,29,ND,3.8,ND
31-50 y,160,210,ND,1.05,1.3,71,ND,ND,ND,13,ND,1.3,ND,29,ND,3.8,ND
