Males & Females,Total Carbohydrate,Total Protein,Total Fat,linoleic acid,Î±-linolenic acid
Percent of Energy,Percent of Energy,Percent of Energy,Percent of Energy,Percent of Energy,
Infants,,,,,
0-6 mo,ND,ND,ND,ND,ND
7-12 mo,ND,ND,ND,ND,ND
Children,,,,,
1-3 years,45 - 65 %,5 - 20 %,30 - 40 %,5 - 10 %,0.6 - 1.2 %
4-8 y,45 - 65 %,10 - 30 %,25 - 35 %,5 - 10 %,0.6 - 1.2 %
Males,,,,,
9-13 y,47 - 65 %,12 - 30 %,27 - 35 %,7 - 10 %,2.6 - 1.2 %
14-18 y,48 - 65 %,13 - 30 %,28 - 35 %,8 - 10 %,3.6 - 1.2 %
19-30 y,45 - 65 %,10 - 35 %,20 - 35 %,5 - 10 %,0.6 - 1.2 %
31-50 y,46 - 65 %,11 - 35 %,21 - 35 %,6 - 10 %,1.6 - 1.2 %
51-70 y,47 - 65 %,12 - 35 %,22 - 35 %,7 - 10 %,2.6 - 1.2 %
>70 y,48 - 65 %,13 - 35 %,23 - 35 %,8 - 10 %,3.6 - 1.2 %
Females,,,,,
9-13 y,47 - 65 %,12 - 30 %,27 - 35 %,7 - 10 %,2.6 - 1.2 %
14-18 y,47 - 65 %,12 - 30 %,27 - 35 %,7 - 10 %,2.6 - 1.2 %
19-30 y,45 - 65 %,10 - 35 %,20 - 35 %,5 - 10 %,0.6 - 1.2 %
31-50 y,46 - 65 %,11 - 35 %,21 - 35 %,6 - 10 %,1.6 - 1.2 %
51-70 y,47 - 65 %,12 - 35 %,22 - 35 %,7 - 10 %,2.6 - 1.2 %
>70 y,48 - 65 %,13 - 35 %,23 - 35 %,8 - 10 %,3.6 - 1.2 %
Pregnancy,,,,,
< 18 y,47 - 65 %,12 - 30 %,27 - 35 %,7 - 10 %,2.6 - 1.2 %
19-30 y,45 - 65 %,10 - 35 %,20 - 35 %,5 - 10 %,0.6 - 1.2 %
31-50 y,46 - 65 %,11 - 35 %,21 - 35 %,6 - 10 %,1.6 - 1.2 %
Lactation,,,,,
< 18 y,47 - 65 %,12 - 30 %,27 - 35 %,7 - 10 %,2.6 - 1.2 %
19-30 y,45 - 65 %,10 - 35 %,20 - 35 %,5 - 10 %,0.6 - 1.2 %
31-50 y,46 - 65 %,11 - 35 %,21 - 35 %,6 - 10 %,1.6 - 1.2 %
