,IronTable 2 Footnote 18,Magnesium,Manganese,Molybdenum,Nickel,Phosphorus
Unit,mg/day,mg/day,mg/day,Î¼g/day,mg/day,mg/day
,EAR,RDA/AI,UL,EAR,RDA/AI,ULTable 2 Footnote 19,AI,UL,EAR,RDA/AI,UL,AI,UL,EAR,RDA/AI,UL
Infants
"0-6 mo
 7-12 mo","ND
 6.9","0.27*
11","40
 40","ND
 ND","30*
 75*","ND
 ND","0.003*
 0.6*","ND
 ND","ND
 ND","2*
 3*","ND
 ND","ND
 ND","ND
 ND","ND
 ND","100*
 275*","ND
 ND"
Children
"1-3 y
 4-8 y","3.0
 4.1","7
 10","40
 40","65
 110","80
 130","65
 110","1.2*
 1.5*","2
 3","13
 17","17
 22","300
 600","ND
 ND","0.2
 0.3","380
 405","460
 500","3000
 3000"
Males
"9-13 y
 14-18 y
 19-30 y
 31-50 y
 51-70 y
 >70 y","5.9
 7.7
 6
 6
 6
 6","8
 11
 8
 8
 8
 8","40
 45
 45
 45
 45
 45","200
 340
 330
 350
 350
 350","240
 410
 400
 420
 420
 420","350
 350
 350
 350
 350
 350","1.9*
 2.2*
 2.3*
 2.3*
 2.3*
 2.3*","6
 9
 11
 11
 11
 11","26
 33
 34
 34
 34
 34","34
 43
 45
 45
 45
 45","1100
 1700
 2000
 2000
 2000
 2000","ND
 ND
 ND
 ND
 ND
 ND","0.6
 1.0
 1.0
 1.0
 1.0
 1.0","1055
 1055
 580
 580
 580
 580","1250
 1250
 700
 700
 700
 700","4000
 4000
 4000
 4000
 4000
 3000"
Females
"9-13 y
 14-18 y
 19-30 y
 31-50 y
 51-70 y
 >70 y","5.7Table 2 Footnote e
7.9Table 2 Footnote e
8.1Table 2 Footnote e
8.1Table 2 Footnote e
5Table 2 Footnote e
5Table 2 Footnote e","8Table 2 Footnote e
 15Table 2 Footnote e
 18Table 2 Footnote e
 18Table 2 Footnote e
 8Table 2 Footnote e
 8Table 2 Footnote e","40
 45
 45
 45
 45
 45","200
 300
 255
 265
 265
 265","240
 360
 310
 320
 320
 320","350
 350
 350
 350
 350
 350","1.6*
 1.6*
 1.8*
 1.8*
 1.8*
 1.8*","6
 9
 11
 11
 11
 11","26
 33
 34
 34
 34
 34","34
 43
 45
 45
 45
 45","1100
 1700
 2000
 2000
 2000
 2000","ND
 ND
 ND
 ND
 ND
 ND","0.6
 1.0
 1.0
 1.0
 1.0
 1.0","1055
 1055
 580
 580
 580
 580","1250
 1250
 700
 700
 700
 700","4000
 4000
 4000
 4000
 4000
 3000"
Pregnancy
"< 18 y
 19-30 y
 31-50 y","23
 22
 22","27
 27
 27","45
 45
 45","335
 290
 300","400
 350
 360","350
 350
 350","2.0*
 2.0*
 2.0*","9
 11
 11","40
 40
 40","50
 50
 50","1700
 2000
 2000","ND
 ND
 ND","1.0
 1.0
 1.0","1055
 580
 580","1250
 700
 700","3500
 3500
 3500"
Lactation
"< 18 y
 19-30 y
 31-50 y","7
 6.5
 6.5","10
 9
 9","45
 45
 45","300
 255
 265","360
 310
 320","350
 350
 350","2.6*
 2.6*
 2.6*","9
 11
 11","35
 36
 36","50
 50
 50","1700
 2000
 2000","ND
 ND
 ND","1.0
 1.0
 1.0","1055
 580
 580","1250
 700
 700","4000
 4000
 4000"
